Group,Image1,Image2,Image3,Image4,AudioFile,TargetLocation,Label,AdjTime,NounTime,NPTime,AudioDur
B,slingshot.png,chopsticks.png,lizard.png,leg.png,lizard.mp3,3,filler,,984,984,1528
B,birdhouse.png,worm.png,swing.png,drill.png,drill.mp3,4,filler,,970,970,1398
B,skunk.png,beaker.png,binderclip.png,tape.png,skunk.mp3,1,filler,,872,872,1482
B,snail.png,coffin.png,gum.png,lettuce.png,coffin.mp3,2,filler,,1027,1027,1766
B,witch.png,turkey.png,pyramid.png,cheese.png,pyramid.mp3,3,filler,,1056,1056,1774
B,fly.png,palmtree.png,recordplayer.png,donut.png,donut.mp3,4,filler,,1170,1170,1830
B,skeleton.png,dishsoap.png,tack.png,recyclingbin.png,skeleton.mp3,1,filler,,964,964,1829
B,bouncehouse.png,taxi.png,waterfall.png,dentures.png,taxi.mp3,2,filler,,1138,1138,1859
B,camel.png,stamp.png,syringe.png,limo.png,syringe.mp3,3,filler,,1015,1015,1928
B,peanutbutter.png,whale.png,sunscreen.png,hospital.png,hospital.mp3,4,filler,,920,920,1739
B,bathtub.png,raspberry.png,pill.png,elf.png,bathtub.mp3,1,filler,,1025,1025,1812
B,island.png,rose.png,oven.png,porcupine.png,rose.mp3,2,filler,,1020,1020,1843
B,jelly.png,banjo.png,telescope.png,panda.png,telescope.mp3,3,filler,,1070,1070,2087
B,stopsign.png,quilt.png,donkey.png,slinky.png,slinky.mp3,4,filler,,924,924,1767
B,fire.png,checkbook.png,koala.png,scrunchie.png,fire.mp3,1,filler,,971,971,1629
B,spring.png,hoodie.png,kangaroo.png,tray.png,hoodie.mp3,2,filler,,880,880,1348
B,puzzle.png,towel.png,vendingmachine.png,stretcher.png,vendingmachine.mp3,3,filler,,1048,1048,2090
B,waffles.png,cigar.png,diaper.png,parrot.png,parrot.mp3,4,filler,,1113,1113,1805
B,cooler.png,ducttape.png,bat.png,beret.png,cooler.mp3,1,filler,,1143,1143,1722
B,wolf.png,blender.png,earbuds.png,crane.png,blender.mp3,2,filler,,1114,1114,1773
B,beet.png,indexcards.png,crib.png,paint.png,crib.mp3,3,filler,,1087,1087,1714
B,crepe.png,scale.png,cheetah.png,pajamas.png,pajamas.mp3,4,filler,,1047,1047,1935
B,starfish.png,car.png,sponge.png,coffeebean.png,starfish.mp3,1,practice,,988,988,2044
B,milkshake.png,tent.png,belt.png,stethoscope.png,tent.mp3,2,practice,,1162,1162,1715
B,toilet.png,smallhand.png,smalllion.png,biglion.png,smalllion.mp3,3,practice,961,1593,961,2160
B,tulip.png,raccoon.png,gps.png,church.png,church.mp3,4,practice,,1092,1092,1847
B,chocolatebar.png,mouse.png,longstraw.png,shortstraw.png,chocolatebar.mp3,1,practice,,1045,1045,1932
